,ELBO,NumberofCluster
0,5933.232499972457,8.0
1,25500.478343304145,8.0
2,34403.48009994833,8.0
3,40649.70686941868,7.0
4,42808.62759524344,7.0
5,43560.10733459096,6.0
6,44206.935900936645,6.0
7,45040.366374703866,6.0
8,46078.59013355173,5.0
9,46644.532414681074,5.0
10,46750.671845030694,5.0
11,46780.338892985805,5.0
12,46789.90558479482,5.0
13,46793.29229238648,5.0
14,46794.71816326064,5.0
15,46795.95654382514,5.0
16,46798.45386003005,5.0
17,46800.68954084749,5.0
18,46800.67288971692,5.0
19,46800.170495298975,5.0
20,46799.4956304997,5.0
21,46798.829687597536,5.0
22,46798.223526890244,5.0
23,46797.738708182966,5.0
24,46797.40435269338,5.0
25,46797.19694227125,5.0
26,46797.07983967308,5.0
27,46797.02304864382,5.0
28,46797.00555569761,5.0
29,46797.01322263351,5.0
30,46797.03658130414,5.0
31,46797.06927094233,5.0
32,46797.10701607348,5.0
33,46797.146958492805,5.0
34,46797.18721184021,5.0
35,46797.22655901067,5.0
36,46797.26424313905,5.0
37,46797.29982271212,5.0
38,46797.33307064142,5.0
39,46797.36390385934,5.0
40,46797.392334292956,5.0
41,46797.41843489868,5.0
42,46797.4423160534,5.0
43,46797.46410947186,5.0
44,46797.48395714027,5.0
45,46797.50200385027,5.0
46,46797.51839240831,5.0
47,46797.53326042705,5.0
48,46797.546738484,5.0
49,46797.55894902531,5.0
50,46797.57000598136,5.0
51,46797.58001459665,5.0
52,46797.589071635055,5.0
53,46797.59726576596,5.0
54,46797.604678014075,5.0
55,46797.61138219348,5.0
56,46797.61744537733,5.0
57,46797.622928583325,5.0
58,46797.627887141636,5.0
59,46797.632371156,5.0
